"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","4/215","205/9561",0.0195121951219512,0.867702779353375,-0.290414189627847,0.681698454676518,0.905638043652379,0.831973705173477,"TNFAIP3/IL6/CDKN1A/HLA-DMA",4
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","3/215","156/9561",0.0192307692307692,0.855187835420394,-0.276581566588888,0.686062260451093,0.907053469346397,0.833274000547887,"EGF/CDKN1A/CLDN1",3
"Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","3/215","157/9561",0.0191082802547771,0.849740779143831,-0.287918742124318,0.690229576143407,0.908196810715009,0.834324342857807,"IL6/CDKN1A/SERPINE1",3
"Metabolism","Amino acid metabolism","hsa00270","Cysteine and methionine metabolism","1/215","52/9561",0.0192307692307692,0.855187835420394,-0.158808806198826,0.694523933057488,0.909495626622902,0.835517513452618,"GNMT",1
"Organismal Systems","Endocrine system","hsa04922","Glucagon signaling pathway","2/215","107/9561",0.0186915887850467,0.831210606389915,-0.266295931050992,0.698058581359035,0.909791989922913,0.835789770646887,"PLCB1/PYGM",2
"Human Diseases","Immune disease","hsa05320","Autoimmune thyroid disease","1/215","54/9561",0.0185185185185185,0.823514211886305,-0.197251429547356,0.708182202568502,0.918527805003148,0.843815017036385,"HLA-DMA",1
"Metabolism","Lipid metabolism","hsa00600","Sphingolipid metabolism","1/215","55/9561",0.0181818181818182,0.808541226215645,-0.215969787330425,0.714781637347904,0.918527805003148,0.843815017036385,"NEU1",1
"Genetic Information Processing","Replication and repair","hsa03460","Fanconi anemia pathway","1/215","55/9561",0.0181818181818182,0.808541226215645,-0.215969787330425,0.714781637347904,0.918527805003148,0.843815017036385,"POLN",1
"Metabolism","Glycan biosynthesis and metabolism","hsa00510","N-Glycan biosynthesis","1/215","56/9561",0.0178571428571429,0.794102990033223,-0.234370680225556,0.721232505007298,0.921127264696572,0.846203037424602,"MGAT3",1
"Organismal Systems","Endocrine system","hsa04923","Regulation of lipolysis in adipocytes","1/215","59/9561",0.0169491525423729,0.75372487189594,-0.287789095461957,0.739726628382914,0.921127264696572,0.846203037424602,"PTGS1",1
"Cellular Processes","Cellular community - eukaryotes","hsa04530","Tight junction","3/215","170/9561",0.0176470588235294,0.784760601915185,-0.429462845256506,0.740672822032269,0.921127264696572,0.846203037424602,"CLDN1/AFDN/PARD6G",3
"Metabolism","Global and overview maps","hsa01200","Carbon metabolism","2/215","117/9561",0.0170940170940171,0.760166964818128,-0.395876054371404,0.743937983000729,0.921127264696572,0.846203037424602,"HK1/HKDC1",2
