"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","8/215","160/9561",0.05,2.22348837209302,2.3670536363574,0.0279038421803878,0.302971956258716,0.278328304314228,"VCAM1/CLDN1/HLA-DMA/PECAM1/CDH5/NRXN2/CDH15/NCAM2",8
"Organismal Systems","Endocrine system","hsa03320","PPAR signaling pathway","5/215","76/9561",0.0657894736842105,2.92564259485924,2.55622513075594,0.0279554846302342,0.302971956258716,0.278328304314228,"ACSL1/FABP3/SORBS1/ACOX2/FABP6",5
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","11/215","254/9561",0.0433070866141732,1.92585607031679,2.26824920557992,0.0283390385730475,0.302971956258716,0.278328304314228,"CACNA1H/BDKRB2/MYLK/TGFA/EGF/HRH1/PLCB1/MRLN/PLCD4/BDKRB1/FGF22",11
"Genetic Information Processing","Information processing in viruses","hsa03265","Virion - Ebolavirus, Lyssavirus and Morbillivirus","2/215","12/9561",0.166666666666667,7.41162790697674,3.37066254088914,0.02864002592391,0.302971956258716,0.278328304314228,"ASGR1/NCAM2",2
"Organismal Systems","Digestive system","hsa04973","Carbohydrate digestion and absorption","4/215","52/9561",0.0769230769230769,3.42075134168157,2.65472608459854,0.0290500920179581,0.302971956258716,0.278328304314228,"HK1/AMY2B/HKDC1/PLCB1",4
"Human Diseases","Drug resistance: antineoplastic","hsa01523","Antifolate resistance","3/215","30/9561",0.1,4.44697674418605,2.86790679986287,0.0291388672217054,0.302971956258716,0.278328304314228,"FOLR1/IL6/FOLR3",3
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","5/215","78/9561",0.0641025641025641,2.85062611806798,2.48902008383284,0.0308286469951281,0.302971956258716,0.278328304314228,"C3/C1S/IL6/C4B/CD14",5
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","6/215","105/9561",0.0571428571428571,2.54112956810631,2.4083264665139,0.0308480537281602,0.302971956258716,0.278328304314228,"TNFAIP3/BIRC3/VCAM1/IL1R1/CD14/TRAF1",6
"Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","6/215","105/9561",0.0571428571428571,2.54112956810631,2.4083264665139,0.0308480537281602,0.302971956258716,0.278328304314228,"COL17A1/COL4A3/COL6A1/SLC1A1/SLC7A8/COL14A1",6
"Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","6/215","106/9561",0.0566037735849057,2.51715664765248,2.38225297597264,0.0321098023076933,0.30448950464192,0.279722415747601,"TGFA/FOLR1/EGF/CDKN1A/FOLR3/SPINT1",6
"Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","5/215","82/9561",0.0609756097560976,2.7115711854793,2.36078218261198,0.037114933900843,0.332583228740102,0.305531004392821,"KLRC2/HLA-DMA/KLRC3/KLRC4/KLRC1",5
"Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","6/215","110/9561",0.0545454545454545,2.42562367864693,2.28085485261325,0.0374912003307024,0.332583228740102,0.305531004392821,"HK1/IL6/EGF/CDKN1A/HKDC1/SERPINE1",6
"Environmental Information Processing","Signal transduction","hsa04012","ErbB signaling pathway","5/215","86/9561",0.0581395348837209,2.585451595457,2.23999934537803,0.0441351250143112,0.376835996676808,0.346184264889699,"TGFA/EGF/CDKN1A/NRG2/SHC3",5
"Organismal Systems","Nervous system","hsa04730","Long-term depression","4/215","60/9561",0.0666666666666667,2.9646511627907,2.31532362649155,0.0456247571831553,0.376835996676808,0.346184264889699,"GNAO1/GNAZ/PLCB1/PLA2G4C",4
"Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","6/215","116/9561",0.0517241379310345,2.30016038492382,2.13678206827212,0.0465906323164053,0.376835996676808,0.346184264889699,"GNAO1/SLC1A1/TRPC1/GNG7/PLCB1/PLA2G4C",6
"Human Diseases","Infectious disease: parasitic","hsa05143","African trypanosomiasis","3/215","37/9561",0.0810810810810811,3.60565681961031,2.40848348342353,0.0497835981192912,0.391156842365859,0.359340257101651,"IL6/VCAM1/PLCB1",3
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","6/215","119/9561",0.0504201680672269,2.2421731483291,2.068039870391,0.05161274809501,0.394264047947993,0.362194723473754,"TNFAIP3/BIRC3/CCL5/IL6/VCAM1/TRAF1",6
NA,NA,"hsa03273","Virion - Lassa virus and SFTS virus","2/215","17/9561",0.117647058823529,5.23173734610123,2.6485808664215,0.0548519852895345,0.407683674449243,0.374522801407917,"PCDH9/PCDH1",2
NA,NA,"hsa04081","Hormone signaling","9/215","219/9561",0.0410958904109589,1.82752468939153,1.87896362920468,0.0589221806830821,0.426410518101252,0.391726408973399,"MC1R/GNAO1/SLC16A2/HEPHL1/AVPR2/ADRA2B/GNG7/PLCB1/ESR1",9
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","7/215","157/9561",0.0445859872611465,1.98272848466894,1.88305215176417,0.063855476050149,0.440285504589264,0.404472808043725,"CD24/SIRPA/MFGE8/RAB7B/PECAM1/ARG2/GAS6",7
"Organismal Systems","Immune system","hsa04611","Platelet activation","6/215","126/9561",0.0476190476190476,2.11760797342193,1.915310103338,0.0645753635932259,0.440285504589264,0.404472808043725,"MYLK/GP6/PTGS1/PLCB1/PLA2G4C/RASGRP2",6
"Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","5/215","99/9561",0.0505050505050505,2.24594785059901,1.88999771195626,0.0721098722642803,0.440285504589264,0.404472808043725,"ITGA1/IL6/ITGB4/LAMA2/CACNG6",5
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","12/215","333/9561",0.036036036036036,1.60251414204903,1.69734785774917,0.0726450251047515,0.440285504589264,0.404472808043725,"VTN/ITGA1/COL4A3/COL6A1/EGF/ITGB4/CDKN1A/LAMA2/FN1/WNT10A/PARD6G/TNXB",12
"Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","3/215","44/9561",0.0681818181818182,3.03202959830867,2.04899840757827,0.0758288432679964,0.440285504589264,0.404472808043725,"HLA-DMA/CPE/ICA1",3
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","11/215","300/9561",0.0366666666666667,1.63055813953488,1.68303097582314,0.0758895722526761,0.440285504589264,0.404472808043725,"CACNA1H/TGFA/EGF/IL1R1/NRTN/CD14/PLA2G4C/MAPT/RASGRP2/CACNG6/FGF22",11
"Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","9/215","232/9561",0.0387931034482759,1.72512028869286,1.69578890860516,0.0783370481372105,0.440285504589264,0.404472808043725,"GSN/ITGA1/BDKRB2/MYLK/EGF/ITGB4/FN1/BDKRB1/FGF22",9
"Metabolism","Glycan biosynthesis and metabolism","hsa00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate","2/215","21/9561",0.0952380952380952,4.23521594684385,2.25099236725921,0.0799235186883333,0.440285504589264,0.404472808043725,"CHST11/CHST13",2
"Environmental Information Processing","Membrane transport","hsa02010","ABC transporters","3/215","45/9561",0.0666666666666667,2.9646511627907,2.00354812024103,0.0799567206964441,0.440285504589264,0.404472808043725,"ABCB1/ABCC6/ABCA4",3
"Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","3/215","45/9561",0.0666666666666667,2.9646511627907,2.00354812024103,0.0799567206964441,0.440285504589264,0.404472808043725,"IL6/HLA-DMA/KLRC1",3
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","9/215","233/9561",0.0386266094420601,1.71771633895598,1.6821774726514,0.0799752442669333,0.440285504589264,0.404472808043725,"ITGA1/COL4A3/COL6A1/ITGB4/LAMA2/FN1/BGN/SPTBN5/AMPD3",9
NA,NA,"hsa04082","Neuroactive ligand signaling","8/215","199/9561",0.0402010050251256,1.7877293443964,1.70315640304786,0.0800519099253206,0.440285504589264,0.404472808043725,"GNAO1/SLC1A1/HTR1D/HRH1/ADRA2B/TAC3/GNG7/PLCB1",8
"Metabolism","Amino acid metabolism","hsa00340","Histidine metabolism","2/215","22/9561",0.0909090909090909,4.04270613107822,2.16698154840531,0.0866560691033578,0.457670695651093,0.420443892655549,"AOC1/HDC",2
"Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","9/215","238/9561",0.0378151260504202,1.68162986124682,1.61508183340803,0.0884779891184975,0.457670695651093,0.420443892655549,"TGFA/EGF/AFDN/GNG7/PLA2G4C/RASGRP2/SHC3/RGL1/FGF22",9
"Organismal Systems","Digestive system","hsa04972","Pancreatic secretion","5/215","106/9561",0.0471698113207547,2.0976305397104,1.72350931842769,0.0904129376605698,0.457670695651093,0.420443892655549,"RAB27B/AMY2B/CLCA2/TRPC1/PLCB1",5
"Organismal Systems","Endocrine system","hsa04910","Insulin signaling pathway","6/215","138/9561",0.0434782608695652,1.93346814964611,1.67525043588599,0.0908592334570402,0.457670695651093,0.420443892655549,"HK1/PPP1R3B/SORBS1/HKDC1/SHC3/PYGM",6
"Human Diseases","Cancer: specific types","hsa05214","Glioma","4/215","76/9561",0.0526315789473684,2.34051407588739,1.77948689858821,0.0915341391302185,0.457670695651093,0.420443892655549,"TGFA/EGF/CDKN1A/SHC3",4
"Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","5/215","110/9561",0.0454545454545455,2.02135306553911,1.63406243222426,0.101853841780532,0.475371028233947,0.436704485267549,"FMOD/LTBP1/INHBB/CHRD/BMP5",5
"Metabolism","Amino acid metabolism","hsa00330","Arginine and proline metabolism","3/215","50/9561",0.06,2.66818604651163,1.79370774476316,0.101988693330192,0.475371028233947,0.436704485267549,"SAT1/AOC1/ARG2",3
"Organismal Systems","Immune system","hsa04672","Intestinal immune network for IgA production","3/215","50/9561",0.06,2.66818604651163,1.79370774476316,0.101988693330192,0.475371028233947,0.436704485267549,"IL6/HLA-DMA/CCL28",3
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","3/215","50/9561",0.06,2.66818604651163,1.79370774476316,0.101988693330192,0.475371028233947,0.436704485267549,"IL6/VCAM1/PECAM1",3
"Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","6/215","144/9561",0.0416666666666667,1.85290697674419,1.56409063439551,0.10588965708394,0.48532759496806,0.445851187721855,"C3/C1S/HLA-DMA/H4C14/H2AC19/C4B",6
"Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","5/215","112/9561",0.0446428571428571,1.98525747508306,1.59074700086197,0.107833410664919,0.486134228407423,0.446592209828829,"GNAO1/BIRC3/HLA-DMA/LAMA2/BIRC7",5
"Organismal Systems","Excretory system","hsa04961","Endocrine and other factor-regulated calcium reabsorption","3/215","53/9561",0.0566037735849057,2.51715664765248,1.67980573785373,0.116240842638033,0.487532454042314,0.447876704191982,"BDKRB2/PLCB1/ESR1",3
"Human Diseases","Cancer: specific types","hsa05224","Breast cancer","6/215","148/9561",0.0405405405405405,1.80282840980515,1.49287982388896,0.116584838097929,0.487532454042314,0.447876704191982,"EGF/CDKN1A/WNT10A/SHC3/ESR1/FGF22",6
"Environmental Information Processing","Signal transduction","hsa04072","Phospholipase D signaling pathway","6/215","149/9561",0.0402684563758389,1.79072889027626,1.4754179720447,0.119340872925373,0.487532454042314,0.447876704191982,"EGF/AVPR2/DGKG/PLCB1/PLA2G4C/SHC3",6
"Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","5/215","116/9561",0.0431034482758621,1.91680032076985,1.50673909797823,0.120294452280222,0.487532454042314,0.447876704191982,"VCAM1/CLDN1/PECAM1/CDH5/AFDN",5
"Organismal Systems","Development and regeneration","hsa04360","Axon guidance","7/215","184/9561",0.0380434782608696,1.69178463094034,1.43708729707301,0.121099188550475,0.487532454042314,0.447876704191982,"EPHB2/SEMA5A/RND1/TRPC1/EPHB3/ABLIM2/PARD6G",7
"Human Diseases","Cancer: specific types","hsa05226","Gastric cancer","6/215","150/9561",0.04,1.77879069767442,1.45808816865291,0.122129278749667,0.487532454042314,0.447876704191982,"ABCB1/EGF/CDKN1A/WNT10A/SHC3/FGF22",6
"Metabolism","Lipid metabolism","hsa01040","Biosynthesis of unsaturated fatty acids","2/215","27/9561",0.0740740740740741,3.29405684754522,1.81043847975327,0.122558063067513,0.487532454042314,0.447876704191982,"ELOVL3/ELOVL7",2
"Metabolism","Global and overview maps","hsa01232","Nucleotide metabolism","4/215","85/9561",0.0470588235294118,2.09269493844049,1.53472707892875,0.124251761264129,0.487532454042314,0.447876704191982,"NME1-NME2/NT5E/ENTPD2/AMPD3",4
"Organismal Systems","Sensory system","hsa04742","Taste transduction","4/215","86/9561",0.0465116279069767,2.0683612763656,1.50943022577512,0.128159889861681,0.487532454042314,0.447876704191982,"HTR1D/ENTPD2/HCN4/PLCB1",4
"Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","4/215","86/9561",0.0465116279069767,2.0683612763656,1.50943022577512,0.128159889861681,0.487532454042314,0.447876704191982,"ITGA1/ITGB4/LAMA2/CACNG6",4
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","12/215","370/9561",0.0324324324324324,1.44226272784412,1.31593702707223,0.129634170185364,0.487532454042314,0.447876704191982,"MC1R/C3/BDKRB2/HTR1D/SPX/HRH1/AVPR2/ADRA2B/APELA/TAC3/GPR35/BDKRB1",12
"Metabolism","Lipid metabolism","hsa00062","Fatty acid elongation","2/215","28/9561",0.0714285714285714,3.17641196013289,1.7492045999289,0.130117054515212,0.487532454042314,0.447876704191982,"ELOVL3/ELOVL7",2
"Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","3/215","56/9561",0.0535714285714286,2.38230897009967,1.57346963735132,0.131190551269568,0.487532454042314,0.447876704191982,"C3/IL6/CD14",3
"Metabolism","Global and overview maps","hsa01212","Fatty acid metabolism","3/215","57/9561",0.0526315789473684,2.34051407588739,1.53953965695966,0.136317640875553,0.491038346723153,0.451097428568639,"ACSL1/ELOVL3/ELOVL7",3
"Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","6/215","155/9561",0.0387096774193548,1.72141035258815,1.37334933007501,0.136546765600121,0.491038346723153,0.451097428568639,"GNAO1/MYLK/CDKN1A/PLCB1/PLA2G4C/CACNG6",6
"Environmental Information Processing","Signal transduction","hsa04392","Hippo signaling pathway - multiple species","2/215","29/9561",0.0689655172413793,3.06688051323176,1.69066530576124,0.137780859419778,0.491038346723153,0.451097428568639,"DCHS1/FRMD6",2
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","8/215","227/9561",0.0352422907488987,1.56721647372195,1.31178648960167,0.139650434905792,0.491038346723153,0.451097428568639,"GNAO1/CCL5/IL6/CDKN1A/IL1R1/GNG7/CCR3/PLCB1",8
"Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","6/215","157/9561",0.0382165605095541,1.69948155828766,1.34030942829205,0.142529870794868,0.491038346723153,0.451097428568639,"BIRC3/SERPINE1/FRMD6/BMP5/WNT10A/PARD6G",6
NA,NA,"hsa04517","IgSF CAM signaling","10/215","302/9561",0.033112582781457,1.47250885569074,1.26551317126017,0.143145983898315,0.491038346723153,0.451097428568639,"SCN8A/MYLK/SORBS1/SLAMF7/PPFIA4/AFDN/CD244/PARD6G/NCAM2/SPTBN5",10
"Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","7/215","193/9561",0.0362694300518135,1.61289311965297,1.30459361066965,0.14463311303482,0.491038346723153,0.451097428568639,"CCL5/GNG7/CCR3/PLCB1/CCL28/RASGRP2/SHC3",7
NA,NA,"hsa04981","Folate transport and metabolism","2/215","31/9561",0.0645161290322581,2.86901725431358,1.58082208651749,0.153389330326125,0.51441543706932,0.472573033097174,"FOLR1/FOLR3",2
"Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","4/215","93/9561",0.043010752688172,1.91267816954239,1.3414216151456,0.156889592945352,0.519814916385202,0.477533320315593,"SORBS1/PTPRB/CDH5/AFDN",4
"Metabolism","Carbohydrate metabolism","hsa00052","Galactose metabolism","2/215","32/9561",0.0625,2.77936046511628,1.52915162425657,0.161318008907534,0.52191120528908,0.479459097681834,"HK1/HKDC1",2
"Cellular Processes","Cell growth and death","hsa04215","Apoptosis - multiple species","2/215","32/9561",0.0625,2.77936046511628,1.52915162425657,0.161318008907534,0.52191120528908,0.479459097681834,"BIRC3/BIRC7",2
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","4/215","95/9561",0.0421052631578947,1.87241126070991,1.29608983028918,0.165507744183625,0.527383018694587,0.484485835355793,"TNFAIP3/IL6/MUC5B/S100A9",4
"Metabolism","Lipid metabolism","hsa00590","Arachidonic acid metabolism","3/215","63/9561",0.0476190476190476,2.11760797342193,1.34982967449183,0.16842209792302,0.527383018694587,0.484485835355793,"PTGS1/ALOX12B/PLA2G4C",3
"Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","5/215","130/9561",0.0384615384615385,1.71037567084079,1.23684754294092,0.168762565982268,0.527383018694587,0.484485835355793,"GNAO1/COL4A3/GNG7/PLCB1/SHC3",5
"Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","4/215","97/9561",0.0412371134020619,1.83380484296332,1.25183820692296,0.174292028642199,0.536779891389144,0.493118369123041,"CACNA1H/GNAO1/GNG7/PLCB1",4
"Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","7/215","205/9561",0.0341463414634146,1.51847986386841,1.13814869857238,0.179115293403335,0.536779891389144,0.493118369123041,"C3/GSN/CDKN1A/H4C14/CCR3/TRAF1/HPN",7
"Organismal Systems","Endocrine system","hsa04927","Cortisol synthesis and secretion","3/215","65/9561",0.0461538461538462,2.05245080500894,1.29128889975764,0.179577272755641,0.536779891389144,0.493118369123041,"CACNA1H/PLCB1/STAR",3
"Organismal Systems","Endocrine system","hsa04929","GnRH secretion","3/215","65/9561",0.0461538461538462,2.05245080500894,1.29128889975764,0.179577272755641,0.536779891389144,0.493118369123041,"CACNA1H/TRPC1/PLCB1",3
"Organismal Systems","Immune system","hsa04650","Natural killer cell mediated cytotoxicity","5/215","134/9561",0.0373134328358209,1.65931968066644,1.1657273153909,0.183848359895592,0.537009278212977,0.493329097688476,"KLRC2/KLRC3/KLRC1/CD244/SHC3",5
"Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","3/215","66/9561",0.0454545454545455,2.02135306553911,1.26280318252913,0.185229256812177,0.537009278212977,0.493329097688476,"IL6/HLA-DMA/RORC",3
"Metabolism","Carbohydrate metabolism","hsa00051","Fructose and mannose metabolism","2/215","35/9561",0.0571428571428571,2.54112956810631,1.38532979282958,0.185512296109937,0.537009278212977,0.493329097688476,"HK1/HKDC1",2
"Organismal Systems","Endocrine system","hsa04916","Melanogenesis","4/215","101/9561",0.0396039603960396,1.76117890858853,1.16637217997741,0.192323263039406,0.549121034719608,0.504455687397917,"MC1R/GNAO1/PLCB1/WNT10A",4
"Metabolism","Glycan biosynthesis and metabolism","hsa00512","Mucin type O-glycan biosynthesis","2/215","36/9561",0.0555555555555556,2.47054263565891,1.34070017649095,0.193689964973825,0.549121034719608,0.504455687397917,"GCNT3/GALNT12",2
"Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","7/215","212/9561",0.0330188679245283,1.46834137779728,1.04588315322828,0.200705717109325,0.556750992183428,0.511465026312048,"GNAO1/EGF/AFDN/PLCB1/PARD6G/RASGRP2/FGF22",7
"Metabolism","Global and overview maps","hsa01250","Biosynthesis of nucleotide sugars","2/215","37/9561",0.0540540540540541,2.40377121307354,1.29754607581004,0.201913185936942,0.556750992183428,0.511465026312048,"HK1/HKDC1",2
"Organismal Systems","Endocrine system","hsa04924","Renin secretion","3/215","69/9561",0.0434782608695652,1.93346814964611,1.18026756539494,0.202454906248519,0.556750992183428,0.511465026312048,"CLCA2/AQP1/PLCB1",3
"Environmental Information Processing","Signal transduction","hsa04371","Apelin signaling pathway","5/215","140/9561",0.0357142857142857,1.58820598006645,1.06335980313128,0.2073577481355,0.557697683183193,0.51233471373767,"MYLK/SERPINE1/APELA/GNG7/PLCB1",5
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","8/215","253/9561",0.0316205533596838,1.40615865428808,0.993031608628318,0.210166528075288,0.557697683183193,0.51233471373767,"C3/HK1/CCL5/IL1R1/HKDC1/CD14/PLCB1/PLCD4",8
"Metabolism","Carbohydrate metabolism","hsa00520","Amino sugar and nucleotide sugar metabolism","2/215","38/9561",0.0526315789473684,2.34051407588739,1.25577424712,0.21017581247207,0.557697683183193,0.51233471373767,"HK1/HKDC1",2
"Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","4/215","105/9561",0.0380952380952381,1.69408637873754,1.08465026598276,0.210911123822007,0.557697683183193,0.51233471373767,"ITGA1/ITGB4/LAMA2/CACNG6",4
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","6/215","180/9561",0.0333333333333333,1.48232558139535,0.990802899395411,0.219153479714793,0.573973399253028,0.52728656773484,"C3/CFP/BIRC3/CCL5/IL6/HLA-DMA",6
"Human Diseases","Cancer: specific types","hsa05218","Melanoma","3/215","73/9561",0.0410958904109589,1.82752468939153,1.07644126941587,0.225966952191696,0.580756185539406,0.533517644131894,"EGF/CDKN1A/FGF22",3
"Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","3/215","73/9561",0.0410958904109589,1.82752468939153,1.07644126941587,0.225966952191696,0.580756185539406,0.533517644131894,"TGFA/EGF/CDKN1A",3
"Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","4/215","109/9561",0.036697247706422,1.63191807126093,1.00634630308282,0.229982917531906,0.58560465112291,0.53797173691674,"IL6/IL1R1/HLA-DMA/RORC",4
"Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","2/215","41/9561",0.0487804878048781,2.16925694838344,1.13793826451059,0.235142376733655,0.593249115612433,0.544994402859269,"EGF/CDKN1A",2
"Metabolism","Amino acid metabolism","hsa00380","Tryptophan metabolism","2/215","42/9561",0.0476190476190476,2.11760797342193,1.10091492910679,0.243506060061195,0.603280779430888,0.554210094022634,"AOC1/INMT",2
"Cellular Processes","Cell growth and death","hsa04216","Ferroptosis","2/215","42/9561",0.0476190476190476,2.11760797342193,1.10091492910679,0.243506060061195,0.603280779430888,0.554210094022634,"ACSL1/SAT1",2
"Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","3/215","77/9561",0.038961038961039,1.73258834189067,0.978914769173266,0.249972500612523,0.613771764896819,0.563847745742533,"TGFA/EGF/CDKN1A",3
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","6/215","189/9561",0.0317460317460317,1.41173864894795,0.867104988997094,0.25235956150491,0.614149375343808,0.564194641464168,"TNFAIP3/BIRC3/CCL5/IL6/PLCB1/TRPV2",6
"Human Diseases","Endocrine and metabolic disease","hsa04934","Cushing syndrome","5/215","155/9561",0.032258064516129,1.43450862715679,0.827174339648355,0.269862949697424,0.650985185673611,0.598034237556619,"CACNA1H/CDKN1A/PLCB1/WNT10A/STAR",5
"Human Diseases","Endocrine and metabolic disease","hsa04930","Type II diabetes mellitus","2/215","47/9561",0.0425531914893617,1.89233052944087,0.930097324302573,0.285416566979446,0.675070408183061,0.620160374981568,"HK1/HKDC1",2
"Organismal Systems","Immune system","hsa04623","Cytosolic DNA-sensing pathway","3/215","83/9561",0.036144578313253,1.60734099187447,0.842846671632817,0.286616039706877,0.675070408183061,0.620160374981568,"CCL5/IL6/ZDHHC11",3
"Cellular Processes","Transport and catabolism","hsa04145","Phagosome","5/215","159/9561",0.0314465408805031,1.39842035980693,0.768360888065993,0.287211773663338,0.675070408183061,0.620160374981568,"C3/RAB7B/HLA-DMA/MARCO/CD14",5
"Organismal Systems","Endocrine system","hsa04919","Thyroid hormone signaling pathway","4/215","122/9561",0.0327868852459016,1.45802516202821,0.77222089204683,0.2944406230128,0.686196367190847,0.630381351677716,"SLC16A2/PLCB1/ESR1/PLCD4",4
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","6/215","201/9561",0.0298507462686567,1.32745574453315,0.711619771159973,0.298594462698481,0.6900292205217,0.633902441818978,"BIRC3/IL6/CDKN1A/CD14/TRAF1/SPINT1",6
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","6/215","204/9561",0.0294117647058824,1.30793433652531,0.674279839503483,0.310416205692139,0.697302309378486,0.640583939716122,"VTN/CDKN1A/HSPB2/FN1/WNT10A/ESR1",6
"Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","3/215","87/9561",0.0344827586206897,1.53344025661588,0.758078205393476,0.311288690727608,0.697302309378486,0.640583939716122,"TGFA/EGF/CDKN1A",3
"Metabolism","Lipid metabolism","hsa00565","Ether lipid metabolism","2/215","51/9561",0.0392156862745098,1.74391244870041,0.807889462624075,0.318802454114648,0.697302309378486,0.640583939716122,"TMEM86A/PLA2G4C",2
"Metabolism","Lipid metabolism","hsa00120","Primary bile acid biosynthesis","1/215","17/9561",0.0588235294117647,2.61586867305062,1.0113479405887,0.320890952849546,0.697302309378486,0.640583939716122,"ACOX2",1
"Metabolism","Metabolism of other amino acids","hsa00450","Selenocompound metabolism","1/215","17/9561",0.0588235294117647,2.61586867305062,1.0113479405887,0.320890952849546,0.697302309378486,0.640583939716122,"INMT",1
"Metabolism","Nucleotide metabolism","hsa00230","Purine metabolism","4/215","128/9561",0.03125,1.38968023255814,0.673168415587308,0.324994003597026,0.697302309378486,0.640583939716122,"NME1-NME2/NT5E/ENTPD2/AMPD3",4
"Cellular Processes","Cell growth and death","hsa04217","Necroptosis","5/215","168/9561",0.0297619047619048,1.3235049833887,0.641606481496861,0.326918918016951,0.697302309378486,0.640583939716122,"TNFAIP3/BIRC3/H2AC19/PLA2G4C/PYGM",5
"Environmental Information Processing","Signal transduction","hsa04630","JAK-STAT signaling pathway","5/215","168/9561",0.0297619047619048,1.3235049833887,0.641606481496861,0.326918918016951,0.697302309378486,0.640583939716122,"IL20RB/IL11RA/IL6/EGF/CDKN1A",5
"Organismal Systems","Endocrine system","hsa04913","Ovarian steroidogenesis","2/215","52/9561",0.0384615384615385,1.71037567084079,0.779036157400297,0.327098174217545,0.697302309378486,0.640583939716122,"PLA2G4C/STAR",2
"Organismal Systems","Digestive system","hsa04979","Cholesterol metabolism","2/215","52/9561",0.0384615384615385,1.71037567084079,0.779036157400297,0.327098174217545,0.697302309378486,0.640583939716122,"STAR/APOE",2
"Human Diseases","Cancer: specific types","hsa05225","Hepatocellular carcinoma","5/215","170/9561",0.0294117647058824,1.30793433652531,0.614415193003938,0.335832394990892,0.700394597638441,0.643424702136749,"TGFA/CDKN1A/DPF3/WNT10A/SHC3",5
"Metabolism","Lipid metabolism","hsa00061","Fatty acid biosynthesis","1/215","18/9561",0.0555555555555556,2.47054263565891,0.947123688711763,0.336189406866451,0.700394597638441,0.643424702136749,"ACSL1",1
"Metabolism","Glycan biosynthesis and metabolism","hsa00511","Other glycan degradation","1/215","18/9561",0.0555555555555556,2.47054263565891,0.947123688711763,0.336189406866451,0.700394597638441,0.643424702136749,"NEU1",1
"Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","4/215","133/9561",0.0300751879699248,1.3374366147928,0.594351724072598,0.350618735006046,0.72496354982453,0.66599522280531,"GNAO1/GNG7/PLCB1/SCN1A",4
