"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031267","small GTPase binding","6/432","284/18737",0.0211267605633803,0.916324334898278,-0.218283192976271,0.642174901546379,0.802398180375315,0.72994352712804,"EPS8/NPC1L1/BICDL1/RIMS3/AFDN/SYTL2",6
"GO:0001223","transcription coactivator binding","1/432","45/18737",0.0222222222222222,0.963837448559671,-0.0373106556463297,0.650382609880933,0.809422492615236,0.736333560626943,"ESR1",1
"GO:0043014","alpha-tubulin binding","1/432","45/18737",0.0222222222222222,0.963837448559671,-0.0373106556463297,0.650382609880933,0.809422492615236,0.736333560626943,"ARL4C",1
"GO:0022853","active monoatomic ion transmembrane transporter activity","6/432","287/18737",0.0209059233449477,0.906746031746032,-0.244571321542975,0.652172848914004,0.810040086151124,0.736895386930819,"SLC45A2/SLC15A2/SLC1A1/SLC12A8/SLC4A3/ATP13A4",6
"GO:0030594","neurotransmitter receptor activity","2/432","97/18737",0.0206185567010309,0.894282168766705,-0.160363897901064,0.658425736024751,0.814619972455779,0.741061720360815,"HTR1D/ANXA9",2
"GO:0099095","ligand-gated monoatomic anion channel activity","1/432","46/18737",0.0217391304347826,0.942884460547504,-0.0595816293925497,0.658462789237419,0.814619972455779,0.741061720360815,"CLCA2",1
"GO:0004725","protein tyrosine phosphatase activity","2/432","98/18737",0.0204081632653061,0.885156840513983,-0.175106517673317,0.663931322418707,0.818151590224627,0.744274441418401,"PTPRG/PTPRB",2
"GO:0030527","structural constituent of chromatin","2/432","98/18737",0.0204081632653061,0.885156840513983,-0.175106517673317,0.663931322418707,0.818151590224627,0.744274441418401,"H4C14/H2AC19",2
"GO:0001784","phosphotyrosine residue binding","1/432","47/18737",0.0212765957446809,0.922823089046493,-0.0813817670804413,0.666356645909049,0.81952703406496,0.745525685941051,"SHC3",1
"GO:0008170","N-methyltransferase activity","2/432","100/18737",0.02,0.867453703703704,-0.204162060386771,0.674728167700393,0.826575015617311,0.75193725146959,"INMT/GNMT",2
"GO:0043130","ubiquitin binding","2/432","100/18737",0.02,0.867453703703704,-0.204162060386771,0.674728167700393,0.826575015617311,0.75193725146959,"TNFAIP3/OTUB2",2
"GO:0001222","transcription corepressor binding","1/432","49/18737",0.0204081632653061,0.885156840513983,-0.123656572602611,0.681602439668454,0.833365482875883,0.758114555634526,"ESR1",1
"GO:0140097","catalytic activity, acting on DNA","5/432","249/18737",0.0200803212851406,0.870937453517775,-0.314956360088634,0.683412940406361,0.833467119845425,0.758207015026694,"PGBD5/APLF/POLN/CHD5/DMC1",5
"GO:0015079","potassium ion transmembrane transporter activity","3/432","152/18737",0.0197368421052632,0.856039839181287,-0.273765224347262,0.684348401917809,0.833467119845425,0.758207015026694,"HCN4/SLC12A8/AQP1",3
"GO:0030159","signaling receptor complex adaptor activity","1/432","51/18737",0.0196078431372549,0.850444807552651,-0.164294814914531,0.696153117568383,0.844557851933737,0.768296280302928,"SORBS1",1
"GO:0048020","CCR chemokine receptor binding","1/432","51/18737",0.0196078431372549,0.850444807552651,-0.164294814914531,0.696153117568383,0.844557851933737,0.768296280302928,"CCL5",1
"GO:0005080","protein kinase C binding","1/432","52/18737",0.0192307692307692,0.8340900997151,-0.184044510681173,0.703177727073385,0.848148857703158,0.771563026765442,"CAVIN2",1
"GO:0016830","carbon-carbon lyase activity","1/432","52/18737",0.0192307692307692,0.8340900997151,-0.184044510681173,0.703177727073385,0.848148857703158,0.771563026765442,"HDC",1
"GO:0018455","alcohol dehydrogenase [NAD(P)+] activity","1/432","52/18737",0.0192307692307692,0.8340900997151,-0.184044510681173,0.703177727073385,0.848148857703158,0.771563026765442,"ADHFE1",1
"GO:0051018","protein kinase A binding","1/432","53/18737",0.0188679245283019,0.818352550663871,-0.203435975191734,0.710040302503104,0.851826714315116,0.77490878164533,"AKAP12",1
"GO:0140296","general transcription initiation factor binding","1/432","53/18737",0.0188679245283019,0.818352550663871,-0.203435975191734,0.710040302503104,0.851826714315116,0.77490878164533,"ESR1",1
"GO:0000149","SNARE binding","2/432","107/18737",0.0186915887850467,0.81070439598477,-0.301662576182708,0.710309177112605,0.851826714315116,0.77490878164533,"SEC24D/SYT7",2
"GO:0061630","ubiquitin protein ligase activity","7/432","355/18737",0.0197183098591549,0.85523604590506,-0.423032445830568,0.714077342508466,0.853077725026736,0.776046829055766,"BIRC3/PJA1/RNF43/ARK2C/PELI2/BIRC7/RNF112",7
"GO:0019829","ATPase-coupled monoatomic cation transmembrane transporter activity","1/432","54/18737",0.0185185185185185,0.803197873799726,-0.222484010641532,0.71674457296546,0.853077725026736,0.776046829055766,"ATP13A4",1
"GO:0140313","molecular sequestering activity","1/432","54/18737",0.0185185185185185,0.803197873799726,-0.222484010641532,0.71674457296546,0.853077725026736,0.776046829055766,"CDKN1A",1
"GO:0004518","nuclease activity","4/432","210/18737",0.019047619047619,0.826146384479718,-0.389212042444359,0.716803328057609,0.853077725026736,0.776046829055766,"PGBD5/APLF/ANG/RNASE4",4
"GO:0008374","O-acyltransferase activity","1/432","55/18737",0.0181818181818182,0.788594276094276,-0.241202524187138,0.723294181940406,0.857388612412703,0.77996845353165,"PLA2G4C",1
"GO:0016667","oxidoreductase activity, acting on a sulfur group of donors","1/432","55/18737",0.0181818181818182,0.788594276094276,-0.241202524187138,0.723294181940406,0.857388612412703,0.77996845353165,"CLIC3",1
"GO:0043022","ribosome binding","2/432","110/18737",0.0181818181818182,0.788594276094276,-0.341615110834122,0.724534466399872,0.857388612412703,0.77996845353165,"LETM2/ANG",2
"GO:0170055","lipid transmembrane transporter activity","1/432","56/18737",0.0178571428571429,0.774512235449735,-0.259604597894468,0.729692689241645,0.861863440500509,0.784039215252691,"ABCA4",1
"GO:0004601","peroxidase activity","1/432","57/18737",0.0175438596491228,0.760924301494477,-0.277702552049311,0.735943572933504,0.867144455752034,0.788843367347991,"PTGS1",1
"GO:0003774","cytoskeletal motor activity","2/432","113/18737",0.0176991150442478,0.767658144870534,-0.380562190825477,0.738165622138352,0.867144455752034,0.788843367347991,"KIF3C/MYO7B",2
