"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0120163","negative regulation of cold-induced thermogenesis","4/106","48/18986",0.0833333333333333,14.9261006289308,7.23836251742745,0.000147839610633202,0.249553262748846,0.247592442649921,"ACOT11/ADAMTS5/TLR4/PLCL2",4
"GO:0120161","regulation of cold-induced thermogenesis","5/106","151/18986",0.033112582781457,5.93090091215794,4.55815590095429,0.00158385294334489,0.502277576927223,0.498331020760297,"ACOT11/ADAMTS5/TLR4/EHMT1/PLCL2",5
"GO:0035666","TRIF-dependent toll-like receptor signaling pathway","2/106","11/18986",0.181818181818182,32.5660377358491,7.84662251420324,0.0016433744589575,0.502277576927223,0.498331020760297,"TRAF3/TLR4",2
"GO:0106106","cold-induced thermogenesis","5/106","153/18986",0.0326797385620915,5.85337279565915,4.51634231851065,0.00167827561128915,0.502277576927223,0.498331020760297,"ACOT11/ADAMTS5/TLR4/EHMT1/PLCL2",5
"GO:0007520","myoblast fusion","3/106","48/18986",0.0625,11.1945754716981,5.29882951025971,0.00243759990248347,0.502277576927223,0.498331020760297,"DOCK1/EHD2/ADAMTS5",3
"GO:0016079","synaptic vesicle exocytosis","4/106","102/18986",0.0392156862745098,7.02404735479097,4.57086827247267,0.002564663791644,0.502277576927223,0.498331020760297,"UNC13A/PRKCB/SYNGR3/SV2B",4
"GO:1990845","adaptive thermogenesis","5/106","170/18986",0.0294117647058824,5.26803551609323,4.18837994671254,0.00265590128423237,0.502277576927223,0.498331020760297,"ACOT11/ADAMTS5/TLR4/EHMT1/PLCL2",5
"GO:0002756","MyD88-independent toll-like receptor signaling pathway","2/106","16/18986",0.125,22.3891509433962,6.41323434327603,0.00352084393577067,0.502277576927223,0.498331020760297,"TRAF3/TLR4",2
"GO:0001659","temperature homeostasis","5/106","185/18986",0.027027027027027,4.84089750127486,3.93355607411606,0.00381465242926696,0.502277576927223,0.498331020760297,"ACOT11/ADAMTS5/TLR4/EHMT1/PLCL2",5
"GO:0090399","replicative senescence","2/106","17/18986",0.117647058823529,21.0721420643729,6.20373449723482,0.00397580245503006,0.502277576927223,0.498331020760297,"MME/TERT",2
"GO:0072673","lamellipodium morphogenesis","2/106","18/18986",0.111111111111111,19.9014675052411,6.01143623042525,0.0044565456146559,0.502277576927223,0.498331020760297,"ARPIN/MYO9B",2
