"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000113140",2207.64461270103,3.24795279359999,0.0799210395087075,40.6395213771728,0,0
"ENSG00000116299",2935.90018646894,4.4478316468151,0.0762990810661661,58.2946948333227,0,0
"ENSG00000116690",1124.34745911684,2.99217716850217,0.0938682926640924,31.8763352733993,5.68291051306973e-223,1.13382183179331e-219
"ENSG00000122176",621.277437666718,4.44680561603781,0.14914528185324,29.815261741994,2.47748326231519e-195,3.4600531241494e-192
"ENSG00000188959",471.652798491017,3.73023968497535,0.157592636640567,23.6701394461924,7.32298638890043e-124,9.29752980976213e-121
"ENSG00000002933",333.850565340479,5.4645604723361,0.24387974916999,22.4067824037623,3.37994510933092e-111,3.37173667120826e-108
"ENSG00000085563",1464.85152195684,2.00520529784176,0.0921536486779471,21.7593695595215,5.63172686538191e-105,5.24351316012825e-102
"ENSG00000261115",468.494327381343,2.85165881697185,0.133780797516853,21.315905345927,8.08289643128746e-101,7.05535822246004e-98
"ENSG00000151726",672.275789135053,2.92307990546346,0.145686152883122,20.0642260614057,1.51632704140026e-89,1.17650130334422e-86
"ENSG00000121769",402.362008377707,3.06147696599842,0.158641036187583,19.2981402515451,5.56772586609223e-83,3.70280283075448e-80
"ENSG00000258839",1067.01449499165,1.73766939007066,0.0906389137633757,19.1713395264981,6.42333655049957e-82,3.90036166366422e-79
"ENSG00000272398",23360.5104432323,1.33413667026824,0.0697150250592977,19.1370033810282,1.24211552884501e-81,7.22807728160392e-79
"ENSG00000005102",983.372985521951,1.70331115722667,0.0931031670607423,18.2948787995084,9.09030600002111e-75,4.88289283062673e-72
"ENSG00000144824",6951.87250900399,1.13887091152547,0.0625364763347124,18.2113060772711,4.19811485583958e-74,2.09395971702342e-71
"ENSG00000109072",1892.15305366441,1.8003700562335,0.104125408133051,17.2904009550963,5.55644415705319e-67,2.50326771281951e-64
"ENSG00000106565",650.025663319358,3.69737627070775,0.215052190586443,17.1929254039453,3.00005308646837e-66,1.30933566892554e-63
"ENSG00000169891",596.865125639538,2.9869331990294,0.175335124971609,17.0355666014614,4.47387570247159e-65,1.89339842608237e-62
"ENSG00000186007",198.851532666939,4.1401117493843,0.248547742428709,16.657209230423,2.68252751312322e-62,1.04067164578553e-59
"ENSG00000163993",1798.32306985731,1.5676959045158,0.0959549102198127,16.3378393135332,5.31015883688295e-60,1.90158149527967e-57
"ENSG00000196557",486.764945531386,1.95306078931619,0.11956187162082,16.3351473412039,5.54980452254804e-60,1.93771424904765e-57
"ENSG00000087258",240.786941749294,3.14859651638641,0.196966507190919,15.9854411863763,1.61420052438484e-57,4.90085315729536e-55
"ENSG00000136999",2022.40791221703,1.17520894256711,0.0742678376012523,15.8239283722904,2.12791257551288e-56,6.32306958076869e-54
"ENSG00000134909",1529.65311524116,1.41255190030302,0.0911571356871947,15.4957907535641,3.70375662619927e-54,1.05564622533672e-51
"ENSG00000165548",202.666702690693,4.00457556995485,0.259498447106228,15.4319827906929,9.97577020956163e-54,2.78643213493476e-51
"ENSG00000125730",978.515044990361,1.69201366107507,0.109855549976966,15.4021682239072,1.58272086890682e-53,4.33417248140247e-51
"ENSG00000182326",1828.78105830425,1.19467612581658,0.078752645965087,15.169980781931,5.58931822969626e-52,1.47283808294223e-49
"ENSG00000136235",606.144405418452,2.26727755067108,0.151006295628728,15.0144571206854,5.90432887844961e-51,1.52703439104495e-48
"ENSG00000109846",756.527377261369,2.22151460114604,0.153621293041412,14.460981008324,2.13729715314384e-47,5.33026643585837e-45
"ENSG00000130066",947.988491395191,1.67982107638945,0.117264216958561,14.3250952418252,1.52518858129336e-46,3.67254891833501e-44
"ENSG00000148180",614.111231642737,1.66182211611793,0.116179244550992,14.3039500948772,2.06734226168457e-46,4.81208367111446e-44
"ENSG00000198832",1413.1090204834,1.03691271620932,0.0733710491254558,14.1324504497179,2.39657513909176e-45,5.48697842500911e-43
"ENSG00000198053",214.68628495813,2.90354159179954,0.206138280039023,14.0854070929954,4.66960120616952e-45,1.05186532976393e-42
"ENSG00000280893",281.627789741608,3.34679979558684,0.239473176711264,13.9756771156968,2.19416807820595e-44,4.78808615316005e-42
"ENSG00000118503",341.421479046562,1.92545174567479,0.138781731526787,13.8739567844573,9.11089984683484e-44,1.89914667553575e-41
"ENSG00000189298",905.345306917015,1.30412665575471,0.0951386231013367,13.7076469391997,9.13733273171455e-43,1.87664689604596e-40
"ENSG00000150961",1836.52683761354,1.1247539986017,0.0828792557822711,13.5709953954762,5.95083657752722e-42,1.15429699502424e-39
"ENSG00000165959",611.867885177943,1.74588869342093,0.130656125612679,13.3624710302255,1.00182373747196e-40,1.86552937567112e-38
"ENSG00000178695",333.424139860316,1.8587515107989,0.140346955656252,13.2439745636627,4.88914013532683e-40,8.86775728960708e-38
"ENSG00000126759",108.017011199756,3.84278789068232,0.29413366894257,13.0647671329073,5.23445572432727e-39,9.02523563530304e-37
"ENSG00000011347",736.933381926773,1.30536699911451,0.101095323198931,12.912239239256,3.83970281250435e-38,6.30885758581597e-36
"ENSG00000168734",131.001634256314,3.60569045856654,0.280140297839902,12.8710167240101,6.55337741097039e-38,1.04005078320014e-35
"ENSG00000196876",818.629088702674,1.21831780799492,0.0963143274110468,12.6493933015327,1.12742056386399e-36,1.71147343423093e-34
"ENSG00000002726",912.081419871216,1.94915010925885,0.154397709721753,12.6242164652021,1.55279299510507e-36,2.33186096447714e-34
"ENSG00000084710",1572.88253970145,1.06914613733137,0.0851171155935955,12.5608830829767,3.46444321177409e-36,5.14727807400393e-34
"ENSG00000173546",2429.66736591925,1.1074299695443,0.0892376144924937,12.409901092072,2.30937892536739e-35,3.32502949192588e-33
"ENSG00000175899",234.48642857814,2.37158618900722,0.192716775083422,12.3060703354994,8.40152301313374e-35,1.18520879193359e-32
"ENSG00000156515",336.278671688463,1.88331353025268,0.15535872654551,12.1223543223431,8.0415393902726e-34,1.03989017707914e-31
"ENSG00000181458",1134.18369321503,1.21324154952758,0.100554664219742,12.0654925253023,1.60698081970442e-33,2.05899946128367e-31
"ENSG00000186081",143.584972058563,7.00362921048999,0.582777704401742,12.0176684138588,2.86954546085329e-33,3.643279264207e-31
"ENSG00000160183",705.109267603316,1.23794571762263,0.103549166377161,11.955149045948,6.10239918048936e-33,7.60947383524236e-31
"ENSG00000140545",327.048079955214,1.71820586107683,0.143808044007728,11.9479120443673,6.65769002133304e-33,8.22843352548117e-31
"ENSG00000023445",780.99894793605,1.5406380720673,0.130778371606183,11.7805264979647,4.91848851374728e-32,5.97318352895604e-30
"ENSG00000129038",474.743508810844,1.6338623011427,0.139161892043204,11.7407307212771,7.88026227871826e-32,9.40647375936574e-30
"ENSG00000013364",1180.77857265307,1.03515834196393,0.0902772458513951,11.4664368878499,1.94504176683693e-30,2.20849213948329e-28
"ENSG00000172086",185.589192900252,2.23683271315083,0.198411969353557,11.2736782989384,1.77016983039263e-29,1.93142123837996e-27
"ENSG00000164175",73.3036241415175,5.75579317054963,0.514555533018188,11.1859513720285,4.77753818541012e-29,5.01677430807802e-27
"ENSG00000213949",1073.18786734477,1.32406567043167,0.12007248086946,11.027220066113,2.82461526979163e-28,2.7977714083624e-26
"ENSG00000065618",99.4667709376865,4.8100566057988,0.439110631893791,10.9540882329677,6.35147460800229e-28,6.16004822051111e-26
"ENSG00000174564",501.203709263047,1.37125363481407,0.126356423391781,10.8522669287841,1.94539595819997e-27,1.84825850015108e-25
"ENSG00000139182",1411.18588333238,1.36397715971099,0.125892876350863,10.8344268496145,2.36441371815955e-27,2.20142679918775e-25
"ENSG00000148671",252.60291734872,1.72500202987527,0.159657172875253,10.8044129731841,3.28048543650894e-27,3.01416181620289e-25
"ENSG00000110002",89.027223618874,3.62829938772573,0.337537775471615,10.7493135624781,5.9704273575509e-27,5.44986852781411e-25
"ENSG00000183508",1623.40768827142,1.20589353588967,0.112368042797138,10.7316413623641,7.23003875167061e-27,6.55680007830076e-25
"ENSG00000188910",189.373401298118,1.96649025034098,0.185129043839852,10.6222676331765,2.34787181925939e-26,2.07534036884662e-24
"ENSG00000049323",345.342097209091,1.95361019084924,0.184608761767423,10.5824348321586,3.59492664544832e-26,3.1379215956457e-24
"ENSG00000125726",2509.67255920765,1.00903163392184,0.0954125877900196,10.5754561037845,3.87288442820888e-26,3.33880888422008e-24
"ENSG00000114648",1637.27465221025,1.09701782840928,0.10415804884955,10.5322424961499,6.13551258878477e-26,5.19324659484655e-24
"ENSG00000168398",171.937228740823,2.51967677438687,0.240219943773036,10.4890407299716,9.70082514894505e-26,8.11267808563872e-24
"ENSG00000065534",291.423297479351,1.70931138866008,0.164198274296416,10.4100447826533,2.23116673388372e-25,1.83296909443647e-23
"ENSG00000140092",291.503609360257,1.71538625613419,0.16528946344876,10.3780738369083,3.12006542183036e-25,2.51877651336895e-23
"ENSG00000129757",1930.87074038752,1.01967993089919,0.0984998276706111,10.3520986281221,4.09411534552882e-25,3.23041892178845e-23
"ENSG00000169031",535.604545302161,1.28746769894634,0.124521399131795,10.339328885822,4.67802030026476e-25,3.67040626480324e-23
"ENSG00000166750",1491.49599800731,1.16109408240761,0.113473117002864,10.2323273835714,1.42063494062046e-24,1.08418511369974e-22
"ENSG00000171310",363.508261858333,1.59366814506061,0.155789207215052,10.2296441040406,1.46055133346931e-24,1.10859021321915e-22
"ENSG00000011052",539.530895923571,1.29856588061145,0.127165802721611,10.2115966149662,1.75945485937199e-24,1.31403992331493e-22
